18:41:40.480 [main] INFO  test_classes.RESTApiTests - List is sorted ascending by id
18:41:40.481 [main] INFO  test_classes.RESTApiTests - List is sorted ascending by id
18:41:40.481 [main] INFO  test_classes.RESTApiTests - List is sorted ascending by id
18:41:40.482 [main] INFO  test_classes.RESTApiTests - List is sorted ascending by id
18:41:40.483 [main] INFO  test_classes.RESTApiTests - List is sorted ascending by id
18:41:40.483 [main] INFO  test_classes.RESTApiTests - List is sorted ascending by id
18:41:40.483 [main] INFO  test_classes.RESTApiTests - List is sorted ascending by id
18:41:40.483 [main] INFO  test_classes.RESTApiTests - List is sorted ascending by id
18:41:40.483 [main] INFO  test_classes.RESTApiTests - List is sorted ascending by id
18:41:40.484 [main] INFO  test_classes.RESTApiTests - List is sorted ascending by id
18:41:40.484 [main] INFO  test_classes.RESTApiTests - List is sorted ascending by id
18:41:40.484 [main] INFO  test_classes.RESTApiTests - List is sorted ascending by id
18:41:40.485 [main] INFO  test_classes.RESTApiTests - List is sorted ascending by id
18:41:40.485 [main] INFO  test_classes.RESTApiTests - List is sorted ascending by id
18:41:40.485 [main] INFO  test_classes.RESTApiTests - List is sorted ascending by id
18:41:40.486 [main] INFO  test_classes.RESTApiTests - List is sorted ascending by id
18:41:40.486 [main] INFO  test_classes.RESTApiTests - List is sorted ascending by id
18:41:40.487 [main] INFO  test_classes.RESTApiTests - List is sorted ascending by id
18:41:40.488 [main] INFO  test_classes.RESTApiTests - List is sorted ascending by id
18:41:40.753 [main] INFO  test_classes.RESTApiTests - Status code is 200
18:41:41.031 [main] INFO  test_classes.RESTApiTests - User id is equal to expected user id
18:41:41.031 [main] INFO  test_classes.RESTApiTests - Id is equal to expected id
18:41:41.031 [main] INFO  test_classes.RESTApiTests - Title is not empty
18:41:41.032 [main] INFO  test_classes.RESTApiTests - Body is not empty
18:41:41.277 [main] INFO  test_classes.RESTApiTests - Status code is 404
18:41:41.558 [main] INFO  test_classes.RESTApiTests - Response body is empty
18:41:42.653 [main] INFO  test_classes.RESTApiTests - Status code is 201
18:41:43.490 [main] INFO  test_classes.RESTApiTests - Id is present in response
18:41:43.490 [main] INFO  test_classes.RESTApiTests - UserId match data from request
18:41:43.491 [main] INFO  test_classes.RESTApiTests - Title match data from request
18:41:43.491 [main] INFO  test_classes.RESTApiTests - Body match data from request
18:41:44.264 [main] INFO  test_classes.RESTApiTests - Status code is 200
18:41:44.519 [main] INFO  test_classes.RESTApiTests - Response body is valid JSON
18:41:44.797 [main] INFO  test_classes.RESTApiTests - Actual user data matches expected user data
18:41:45.583 [main] INFO  test_classes.RESTApiTests - Status code is 200
18:41:45.859 [main] INFO  test_classes.RESTApiTests - Actual user data matches expected user data
